;city;firm;url;phone
0;1;;;
1;;;;
2;Москва;1С-Рарус;http://rarus.ru;(495) 231-2002
3;Москва;1С:Первый Бит, Москва – Центральный офис;http://www.1cbit.ru/;(495) 748-0777
4;Москва;1С-Архитектор бизнеса;https://www.1ab.ru/;(495) 994-7277
5;Ростов-на-Дону;ГЭНДАЛЬФ;https://gendalf.ru/;(863) 300-1000
6;Москва;1С:ВДГБ;http://www.vdgb.ru;(495) 223-3211
7;Новосибирск;ИнфоСофт;https://is1c.ru/;(383) 383-55-21
8;Москва;Кодерлайн;http://www.koderline.ru/;(495) 374-5539
9;Нижний Новгород;Лад;https://1c-o.ru/;(831) 2-333-666
10;Москва;1С:Первый Бит, Москва - м. Преображенская площадь;http://www.1cbit.ru/;(495) 748-4448
11;Санкт-Петербург;1С:Первый Бит, Санкт-Петербург – Центральный офис;http://spb.1cbit.ru/;(812) 325-4949
12;Москва;АКСИОМА-СОФТ;http://axioma-soft.ru/;(495) 665-5097
13;Краснодар;Компания Портал-Юг;http://www.portal-yug.ru/;(861) 279-3366
14;Москва;1С:Первый Бит, Москва - м. Калужская;http://www.1cbit.ru/;(495) 748-3300
15;Воронеж;1С:Первый Бит, Воронеж;http://voronezh.1cbit.ru/;(473) 233-3335
16;Москва;1С:Сервистренд;http://www.servicetrend.ru/;(495) 223-6400
17;Тюмень;1С:Первый Бит, Тюмень;http://tyumen.1cbit.ru/;(3452) 52-2033
18;Нижний Новгород;1С-Рарус-НН;https://rarus.ru/nn/;(831) 262-1721
19;Челябинск;1С:Первый Бит, Челябинск;http://chelyabinsk.1cbit.ru/;(351) 247-0777
20;Новосибирск;1С-Рарус Новосибирск;http://rarus.ru/nsk/;(383) 335-8077
21;Екатеринбург;Прайм-1С-Екатеринбург;http://1c-prime.ru/;(343) 222-0345
22;Москва;1С:Автоматизация;http://www.avtomatizator.ru/;(495) 956-2647
23;Москва;Группа компаний Ф1СОФТ.РУ;http://www.f1soft.ru/;(495) 925-6560
24;Нижний Новгород;1C:Апрель Софт;https://aprsoft.ru/;(831) 202-1515
25;Санкт-Петербург;1С:Франчайзинг Софт-Маркет;http://soft-market.ru;(812) 324-7070
26;Москва;1С:Первый Бит, Москва - м. Шоссе Энтузиастов;http://www.1cbit.ru/;(495) 926-1588
27;Краснодар;Интерсофт;http://www.inter-soft.ru/;(861) 298-0670
28;Москва;1С:Первый Бит, Москва - м. Спортивная;http://www.1cbit.ru/;(495) 748-0113
29;Казань;1С:Первый БИТ, Казань;http://kazan.1cbit.ru/;(843) 239-9977
30;Краснодар;1С:Первый Бит, Краснодар, Центральный офис;http://krasnodar.1cbit.ru/;(861) 210-43-43
31;Симферополь;Лаборатория Форт Крым;http://www.fort.crimea.com/;(3652) 530-132
32;2;;;
33;;;;
34;Санкт-Петербург;1С-РАРУС-СПБ;http://rarus.ru/spb/;(812) 603-2500
35;Самара;1С:Первый Бит, Самара;http://samara.1cbit.ru/;(846) 255-6070
36;Уфа;"Компания ""Искра-Про""";http://www.iskrapro.ru/;(347) 246-3506
37;Краснодар;Правильные кассы;https://kkmz.ru/;(8-800) 250-4261
38;Екатеринбург;1С: Первый Бит, Екатеринбург. БЦ «Онегин»;http://burg.1cbit.ru/;(343) 351-1355
39;Москва;1С:Первый Бит, Москва – м. Войковская;http://www.1cbit.ru/;(495) 989-2363
40;Краснодар;Глобал-Софт;http://globals.ru/;(861) 210-2626
41;Ташкент;VENKON;http://www.venkon.uz/;(+998 71) 140-00-77
42;Санкт-Петербург;"Группа Компаний ""СофтБаланс""";https://sb-vnedr.ru/;(812) 325-4400
43;Москва;WiseAdvice-IT;https://wiseadvice-it.ru/;(495) 146-89-15
44;Москва;Умные решения;http://umsol.ru/;(495) 514-1990
45;Ростов-на-Дону;1С:Первый Бит, Ростов-на- Дону - Лемма;http://rostov.1cbit.ru/;(863) 307-5442
46;Саратов;1С:Первый Бит, Саратов;http://saratov.1cbit.ru/;(8452) 65-9888
47;Казань;1С-Рарус Казань;http://rarus.ru/kzn/;(843) 537-8585
48;Санкт-Петербург;1С-ВЕКТРО. Группа компаний;http://www.vectro.ru/;(812) 333-5353
49;Омск;1С:Первый Бит, Омск;http://omsk.1cbit.ru/;(3812) 32-0330
50;Нижний Новгород;1С:Первый Бит, Н Новгород,  пл. Минина;http://nizhniy.1cbit.ru/;(831) 220-7777
51;Алматы;1С:Первый Бит, Алматы;http://www.1cbit.kz/;(727) 344-2-999
52;Москва;1С:Первый Бит,  Москва - м. Павелецкая;http://www.1cbit.ru/;(495) 748-0880
